codigo,nome,populacao,idhm,rdpc,seca,enchente,calor,ameaca,capacidade,peso,cluster,arquetipo,ameaca_futura,tendencia
2900108,Abaíra,8681,0.603,290.53,0.47698120449621506,0.10719397790017685,0.5075873467715435,0.7867218874110506,0.603,0.0029425363159664413,0,Seca (sertao) (baixa),0.8594595470001969,Estavel
2900207,Abaré,20594,0.575,220.16,0.8790202654788608,0.08223355487719439,0.18215328578406217,0.922066134685027,0.575,0.003616697098839888,0,Seca (sertao) (baixa),0.6220661346850269,Melhorando
2900306,Acajutiba,15214,0.582,260.46,0.2923460962244943,0.6913120741204193,0.1634021864725319,0.12026480550941779,0.582,0.00046605103780991355,1,Enchente / chuva extrema (moderada),0.0,Estavel
2900355,Adustina,17209,0.546,211.37,0.5426980890023754,0.30916073553948653,0.32989115318760487,0.614186914616145,0.546,0.0025370313133337317,0,Seca (sertao) (baixa),0.5141297780362666,Estavel
2900405,Água Fria,17096,0.55,215.12,0.5752016059329269,0.1363563525540625,0.48713030017879294,0.8209302865246806,0.55,0.0033663673007906882,0,Seca (sertao) (baixa),0.774853591153447,Estavel
2900504,Érico Cardoso,10513,0.584,258.28,0.5103768152883027,0.20951983609242603,0.5291422534622386,0.7472174022632073,0.584,0.0028857057277338026,0,Seca (sertao) (baixa),0.8010464392008283,Estavel
2900603,Aiquara,4387,0.583,283.24,0.42213532614468574,0.17886238923450967,0.17044337105742272,0.5578561408280873,0.583,0.002158100046655664,0,Seca (sertao) (baixa),0.5125773753503817,Estavel
2900702,Alagoinhas,153023,0.683,553.17,0.38171323699448567,0.3864717688280283,0.31221930684871485,0.45038486825652413,0.683,0.0014872397964586011,3,Enchente / chuva extrema (baixa),0.24220918707652414,Estavel
2900801,Alcobaça,22509,0.608,357.99,0.3875328629424573,0.7197021309206008,0.2918113287886145,0.2168891433122631,0.608,0.0008045483432193749,1,Enchente / chuva extrema (moderada),0.2953017854006814,Agravando
2900900,Almadina,5273,0.563,265.39,0.3192076403090277,0.5387144490612364,0.5525513775238252,0.40897552098760637,0.563,0.0016383505461199815,1,Enchente / chuva extrema (moderada),0.4378358158229161,Estavel
2901007,Amargosa,37631,0.625,369.84,0.3802025145316317,0.24620497548261502,0.24540973017602813,0.5169420445746683,0.625,0.0018654334052064484,0,Seca (sertao) (baixa),0.3003115897971263,Estavel
2901106,Amélia Rodrigues,24997,0.666,354.66,0.37479463280149017,0.2511680732001035,0.357672415934151,0.5582082759045788,0.666,0.0018903401235608375,3,Enchente / chuva extrema (baixa),0.3221652321617735,Estavel
2901155,América Dourada,16086,0.561,186.1,0.8817155865230741,0.3054267111625996,0.48386486355718333,0.900132992263672,0.561,0.0036187762347882637,2,Seca (sertao) (moderada),0.8581459120732327,Estavel
2901205,Anagé,21229,0.54,243.52,0.5774401267515454,0.2747190989873511,0.573007039359449,0.7643209336000035,0.54,0.0031922721229006067,2,Seca (sertao) (moderada),0.7484684181715532,Estavel
2901304,Andaraí,13122,0.555,230.36,0.327132634246321,0.6495352506864198,0.13663162747955207,0.15973365280149976,0.555,0.0006491145602976916,1,Enchente / chuva extrema (moderada),0.0,Estavel
2901353,Andorinha,14416,0.588,305.81,0.7141478830523597,0.2613249215758623,0.611084806692257,0.8774831942108526,0.588,0.0033657309176414875,2,Seca (sertao) (moderada),0.8818374858771847,Estavel
2901403,Angical,13902,0.625,266.89,0.817378701156213,0.395034273949697,0.7036952735149383,0.8917039191494647,0.625,0.0032177964547332426,2,Seca (sertao) (moderada),1.0,Estavel
2901502,Anguera,11369,0.589,269.0,0.47630442340541607,0.11341665739613674,0.4358754626797243,0.7512725243420864,0.589,0.002876736753865018,0,Seca (sertao) (baixa),0.5263879607352804,Estavel
2901601,Antas,19659,0.592,283.59,0.5363346378975102,0.29652435004685784,0.25943391789843717,0.5885600099127062,0.592,0.002242265084776317,0,Seca (sertao) (baixa),0.47989190559722644,Estavel
2901700,Antônio Cardoso,11670,0.561,236.86,0.40668615252477835,0.13856049074761193,0.38634951416861535,0.6681605028161172,0.561,0.0026861845631660506,0,Seca (sertao) (baixa),0.4131361111011978,Estavel
2901809,Antônio Gonçalves,11955,0.598,295.7,0.7352382614144338,0.2809253435933963,0.5774104904068776,0.8631276331067165,0.598,0.0032553054672532404,2,Seca (sertao) (moderada),0.9441610599587094,Estavel
2901908,Aporá,17840,0.548,199.04,0.3565093845102627,0.5361090201354992,0.24779826569693036,0.30400501010455533,0.548,0.001251175101429315,1,Enchente / chuva extrema (moderada),0.09995267140948016,Estavel
2901957,Apuarema,7274,0.552,252.3,0.3551431954581278,0.2805641203212648,0.23065913896747425,0.4709921565723817,0.552,0.0019243874144142866,0,Seca (sertao) (baixa),0.4231958780403212,Estavel
2902005,Aracatu,12960,0.581,316.6,0.5937350860420104,0.347399525890712,0.856963053076313,0.8466917375972144,0.581,0.003286753243115063,2,Seca (sertao) (moderada),0.8777796064654978,Estavel
2902054,Araçás,12237,0.57,230.75,0.30403426289513225,0.5782539806841157,0.21203284290778301,0.2261281106675346,0.57,0.0008947415575938894,1,Enchente / chuva extrema (moderada),0.0,Estavel
2902104,Araci,54903,0.534,221.98,0.6908558956855447,0.12819891721974783,0.675012730172811,0.9812372377849845,0.534,0.004144295125237694,2,Seca (sertao) (moderada),0.9903582941953372,Estavel
2902203,Aramari,11519,0.588,274.61,0.43780040938164677,0.2768425761853069,0.37378215752979094,0.58790915631348,0.588,0.0022550221328721245,0,Seca (sertao) (baixa),0.40257563616901404,Estavel
2902252,Arataca,10904,0.559,256.14,0.20468372383573782,0.6929541239592326,0.6172574165019138,0.2575392499087383,0.559,0.0010390813007481851,1,Enchente / chuva extrema (moderada),0.5575392499087383,Agravando
2902302,Aratuípe,8848,0.575,278.23,0.1960092502772264,0.6663957040007231,0.20411041835993712,0.09303621714718827,0.575,0.0003649237337603932,1,Enchente / chuva extrema (moderada),0.0,Estavel
2902401,Aurelino Leal,11079,0.568,253.19,0.35024609608248675,0.37791810993373964,0.3769804272053145,0.4638426780144544,0.568,0.00184179072035865,0,Seca (sertao) (baixa),0.46798970652125504,Estavel
2902500,Baianópolis,13979,0.589,235.05,0.8516163648484164,0.4334862778076039,0.7211842608414755,0.8947904603752774,0.589,0.0034262887580290024,2,Seca (sertao) (moderada),1.0,Agravando
2902609,Baixa Grande,20431,0.585,243.98,0.8145947124543288,0.2248230206195608,0.7417480903333621,1.0,0.585,0.0038553343226543756,2,Seca (sertao) (moderada),1.0,Estavel
